ProjectID,ProjectType,TaskID,TaskDescription,TaskType,MemberID,SkillsExpertise,ExperienceLevel,EducationLevel,RoleInTeam,PerformanceScore
Proj_62,Web Development,Task_0,Lead gun soon reach know expect.,Deployment,Member_0,"contain, must, to, case, tax",Senior,Bachelor,Tester,7
Proj_71,Web Development,Task_1,Tax bit only green big consumer year laugh modern west.,UI/UX Design,Member_1,"husband, north, where, door, high",Junior,PhD,Database Manager,1
Proj_82,Mobile App Development,Task_2,Material matter born support various to item church pull anything again school.,Database Management,Member_2,"alone, among, husband, miss, test",Senior,Diploma,Developer,10
Proj_47,Mobile App Development,Task_3,Protect road television business safe especially where.,Backend Development,Member_3,"hundred, newspaper, kid, claim, action",Junior,Diploma,Database Manager,1
Proj_92,Web Development,Task_4,Drop station knowledge sign or what night.,Database Management,Member_4,"bit, talk, window, along, major",Junior,Master,Project Manager,8
Proj_67,Web Development,Task_5,If hundred source across successful think once work act cost beautiful.,Deployment,Member_5,"green, born, together, deep, model",Senior,Master,Designer,6
Proj_89,Mobile App Development,Task_6,Teacher course among west skill sing argue.,Deployment,Member_6,"charge, choose, machine, cup, manager",Senior,Bachelor,Developer,3
Proj_98,Web Development,Task_7,Ball medical field candidate low current develop first try purpose store.,Database Management,Member_7,"behavior, near, something, spring, move",Mid-level,PhD,Database Manager,10
Proj_6,Web Development,Task_8,Score rate reduce picture believe return question head majority value particular doctor smile.,Testing,Member_8,"knowledge, trade, stuff, along, power",Mid-level,Master,Designer,6
Proj_93,Web Development,Task_9,Maybe him themselves look among Congress yourself tend majority country around.,UI/UX Design,Member_9,"event, specific, address, around, despite",Junior,Master,Designer,2
Proj_67,Mobile App Development,Task_10,Sort paper public clearly nothing stand still bad miss commercial conference whose.,UI/UX Design,Member_10,"find, hair, tough, street, child",Junior,Diploma,Project Manager,6
Proj_69,Web Development,Task_11,However remain form stuff evening whose sport prepare yeah ball.,Database Management,Member_11,"reduce, realize, red, rule, here",Mid-level,Bachelor,Project Manager,8
Proj_70,Mobile App Development,Task_12,Far order fill magazine if foreign fast various painting music.,Backend Development,Member_12,"threat, stop, strong, buy, hear",Mid-level,PhD,Tester,2
Proj_89,Mobile App Development,Task_13,Address hear week worker everyone hard soon reality star determine.,Frontend Development,Member_13,"several, run, require, investment, church",Junior,Master,Project Manager,4
Proj_98,Web Development,Task_14,Student whether official receive inside example which.,Deployment,Member_14,"cut, produce, ability, discussion, rich",Junior,Diploma,Tester,10
Proj_93,Mobile App Development,Task_15,Individual class simply growth better four.,Backend Development,Member_15,"few, executive, along, lose, there",Mid-level,Master,Database Manager,9
Proj_67,Mobile App Development,Task_16,High tax radio animal fast according offer process religious.,Frontend Development,Member_16,"service, travel, maybe, shoulder, close",Junior,PhD,Project Manager,3
Proj_79,Web Development,Task_17,Job series future hit would fight finish peace read.,Database Management,Member_17,"but, piece, particular, yeah, green",Senior,PhD,Project Manager,10
Proj_5,Mobile App Development,Task_18,Country company course serious street small section design former.,UI/UX Design,Member_18,"this, important, hair, design, movie",Mid-level,Diploma,Designer,9
